Subject,Movement_sequence,Movement_repetition,Movement_orientation,Xsens_recording_name,Xsens_comment,,Heure Xsens,Time diff,Pupil time,Pupil_folder,Pupil_recording_name,labeled,Expertise,Picture_face,Picture_side,max_threshold_acceleration,air_time_threshold,Xsens_jump_idx,Pupil_jump_idx,Pupil_frames_zero,Xsens_frames_zero,Treatment,,State,Twist_side,Notes
SaMi,4-/ 8-1o 8--o 8-1o 8--o,0 0 0 1 1,1 1 -1 -1 1,SaMi_10,SaMi_8-1_8--_4,Test_17032021-051,5:14:08,12:08:26,17:22:34,2021-08-18_17-22-34-4bd50028,4e50beb8_0.0-29.451,Mat,Elite,IMG_7359.JPG,IMG_7360.JPG,,,,,,200 400,,,OK,G,
SaMi,4-/ 43/ 4-/ 43/ 4-/ 43/ 4-/ 43/ 4-/,0 0 1 1 2 2 3 3 4,1 1 1 1 1 1 1 1 1,SaMi_11,SaMi_4-_43_2,Test_17032021-052,5:15:36,12:08:26,17:24:02,2021-08-18_17-24-02-b95983db,31a5eaac_0.0-64.489,Mat,Elite,IMG_7359.JPG,IMG_7360.JPG,3.5,0.5,1 2 3 4 5 6 7,1 2 3 4 5 6 7,,350 550,,,OK,G,
SaMi,4-o 41o 4-o 41,0 0 1 1,1 1 -1 -1,SaMi_12,SaMi_4-_42_1,Test_17032021-053,5:30:45,12:08:26,17:39:11,2021-08-18_17-39-11-d2c9e72a,25d90fd0_0.0-20.917,Mat,Elite,IMG_7359.JPG,IMG_7360.JPG,,,,,,,,,,,Video crash
SaMi,4-o 41o 4-o 41o 4-o 41o 4-o 41o 4-o 41o,0 0 1 1 2 2 3 3 4 4,1 1 -1 -1 1 1 -1 -1 1 1,SaMi_13,SaMi_4-_42_2(_1),Test_17032021-054,0:05:53,12:08:26,12:14:19,2021-08-19_12-14-19-a66470ef,266b5c3d_0.0-42.993,Mat,Elite,IMG_7359.JPG,IMG_7360.JPG,,,,,,,,,,,Modele haut du corps seulement
SaMi,8-1< 811< 8-1<,0 0 1,1 -1 -1,SaMi_14,SaMi_8-1_811_1,Test_17032021-055,0:07:43,12:08:26,12:16:09,2021-08-19_12-16-09-92d8d3e0,98858d36_0.0-29.953,Mat,Elite,IMG_7359.JPG,IMG_7360.JPG,,,,,,,,,,,Modele haut du corps seulement
SaMi,8-1< 811<,0 0,1 -1,SaMi_15,SaMi_8-1_811_2,Test_17032021-056,0:08:41,12:08:26,12:17:07,2021-08-19_12-17-07-0dca46ad,53031d91_0.0-30.589,Mat,Elite,IMG_7359.JPG,IMG_7360.JPG,,,,,,,,,,,Modele haut du corps seulement
SaMi,8-1< 811< 8-1< 811<,0 0 1 1,1 -1 -1 1,SaMi_16,SaMi_8-1_811_3,Test_17032021-057,0:10:08,12:08:26,12:18:34,2021-08-19_12-18-34-d168bef4,1ddbab6f_0.0-39.097,Mat,Elite,IMG_7359.JPG,IMG_7360.JPG,,,,,,,,,,,Modele haut du corps seulement
SaMi,8-1< 811<,0 0,1 -1,SaMi_17,SaMi_8-1_811_4,Test_17032021-058,0:11:27,12:08:26,12:19:53,2021-08-19_12-19-53-4c8fa3a2,7264b3af_0.0-35.286,Mat,Elite,IMG_7359.JPG,IMG_7360.JPG,,,,,,,,,,,Modele haut du corps seulement
SaMi,8-1< 831<,0 0,1 -1,SaMi_18,SaMi_831_1,Test_17032021-059,0:13:53,12:08:26,12:22:19,2021-08-19_12-22-19-947dc20b,75ace480_0.0-28.071,Mat,Elite,IMG_7359.JPG,IMG_7360.JPG,,,,,,,,,,,Modele haut du corps seulement
SaMi,8-1< 831<,0 0,1 -1,SaMi_19,SaMi_831_2,Test_17032021-060,0:17:17,12:08:26,12:25:43,2021-08-19_12-25-43-afd3e1e3,27d80d6b_0.0-28.451,Mat,Elite,IMG_7359.JPG,IMG_7360.JPG,,,,,,,,,,,Modele haut du corps seulement
